r,sr,st
1.000000e+00,-2.000000e+09,-6.487833e+08
1.018036e+00,-1.976062e+09,-6.487770e+08
1.036072e+00,-1.952953e+09,-6.483614e+08
1.054108e+00,-1.930625e+09,-6.475714e+08
1.072144e+00,-1.909032e+09,-6.464386e+08
1.090180e+00,-1.888132e+09,-6.449919e+08
1.108216e+00,-1.867886e+09,-6.432575e+08
1.126253e+00,-1.848259e+09,-6.412594e+08
1.144289e+00,-1.829217e+09,-6.390195e+08
1.162325e+00,-1.810730e+09,-6.365581e+08
1.180361e+00,-1.792768e+09,-6.338934e+08
1.198397e+00,-1.775306e+09,-6.310425e+08
1.216433e+00,-1.758317e+09,-6.280207e+08
1.234469e+00,-1.741780e+09,-6.248422e+08
1.252505e+00,-1.725673e+09,-6.215204e+08
1.270541e+00,-1.709974e+09,-6.180671e+08
1.288577e+00,-1.694666e+09,-6.144935e+08
1.306613e+00,-1.679730e+09,-6.108099e+08
1.324649e+00,-1.665150e+09,-6.070256e+08
1.342685e+00,-1.650911e+09,-6.031494e+08
1.360721e+00,-1.636997e+09,-5.991895e+08
1.378757e+00,-1.623395e+09,-5.951532e+08
1.396794e+00,-1.610091e+09,-5.910474e+08
1.414830e+00,-1.597074e+09,-5.868785e+08
1.432866e+00,-1.584332e+09,-5.826525e+08
1.450902e+00,-1.571853e+09,-5.783748e+08
1.468938e+00,-1.559629e+09,-5.740506e+08
1.486974e+00,-1.547648e+09,-5.696844e+08
1.505010e+00,-1.535901e+09,-5.652806e+08
1.523046e+00,-1.524381e+09,-5.608435e+08
1.541082e+00,-1.513078e+09,-5.563767e+08
1.559118e+00,-1.501985e+09,-5.518836e+08
1.577154e+00,-1.491094e+09,-5.473677e+08
1.595190e+00,-1.480398e+09,-5.428318e+08
1.613226e+00,-1.469890e+09,-5.382788e+08
1.631263e+00,-1.459565e+09,-5.337114e+08
1.649299e+00,-1.449415e+09,-5.291318e+08
1.667335e+00,-1.439435e+09,-5.245426e+08
1.685371e+00,-1.429620e+09,-5.199456e+08
1.703407e+00,-1.419964e+09,-5.153428e+08
1.721443e+00,-1.410461e+09,-5.107362e+08
1.739479e+00,-1.401109e+09,-5.061274e+08
1.757515e+00,-1.391901e+09,-5.015179e+08
1.775551e+00,-1.382833e+09,-4.969092e+08
1.793587e+00,-1.373901e+09,-4.923027e+08
1.811623e+00,-1.365101e+09,-4.876997e+08
1.829659e+00,-1.356429e+09,-4.831013e+08
1.847695e+00,-1.347882e+09,-4.785087e+08
1.865731e+00,-1.339455e+09,-4.739228e+08
1.883768e+00,-1.331146e+09,-4.693446e+08
1.901804e+00,-1.322952e+09,-4.647750e+08
1.919840e+00,-1.314868e+09,-4.602148e+08
1.937876e+00,-1.306892e+09,-4.556647e+08
1.955912e+00,-1.299022e+09,-4.511255e+08
1.973948e+00,-1.291254e+09,-4.465978e+08
1.991984e+00,-1.283586e+09,-4.420822e+08
2.010020e+00,-1.276015e+09,-4.375794e+08
2.028056e+00,-1.268538e+09,-4.330896e+08
2.046092e+00,-1.261154e+09,-4.286135e+08
2.064128e+00,-1.253860e+09,-4.241516e+08
2.082164e+00,-1.246654e+09,-4.197041e+08
2.100200e+00,-1.239533e+09,-4.152715e+08
2.118237e+00,-1.232496e+09,-4.108540e+08
2.136272e+00,-1.225540e+09,-4.064522e+08
2.154309e+00,-1.218665e+09,-4.020661e+08
2.172345e+00,-1.211866e+09,-3.976961e+08
2.190381e+00,-1.205144e+09,-3.933424e+08
2.208417e+00,-1.198497e+09,-3.890052e+08
2.226453e+00,-1.191922e+09,-3.846848e+08
2.244489e+00,-1.185418e+09,-3.803812e+08
2.262525e+00,-1.178983e+09,-3.760947e+08
2.280561e+00,-1.172617e+09,-3.718253e+08
2.298597e+00,-1.166316e+09,-3.675733e+08
2.316633e+00,-1.160081e+09,-3.633387e+08
2.334669e+00,-1.153910e+09,-3.591216e+08
2.352705e+00,-1.147801e+09,-3.549220e+08
2.370741e+00,-1.141753e+09,-3.507402e+08
2.388777e+00,-1.135765e+09,-3.465760e+08
2.406814e+00,-1.129835e+09,-3.424296e+08
2.424850e+00,-1.123963e+09,-3.383009e+08
2.442886e+00,-1.118147e+09,-3.341901e+08
2.460922e+00,-1.112387e+09,-3.300972e+08
2.478958e+00,-1.106680e+09,-3.260220e+08
2.496994e+00,-1.101027e+09,-3.219648e+08
2.515030e+00,-1.095425e+09,-3.179253e+08
2.533066e+00,-1.089875e+09,-3.139037e+08
2.551102e+00,-1.084375e+09,-3.098999e+08
2.569138e+00,-1.078924e+09,-3.059139e+08
2.587174e+00,-1.073521e+09,-3.019455e+08
2.605210e+00,-1.068166e+09,-2.979950e+08
2.623246e+00,-1.062857e+09,-2.940620e+08
2.641283e+00,-1.057594e+09,-2.901467e+08
2.659319e+00,-1.052375e+09,-2.862490e+08
2.677355e+00,-1.047201e+09,-2.823688e+08
2.695391e+00,-1.042071e+09,-2.785060e+08
2.713427e+00,-1.036982e+09,-2.746606e+08
2.731463e+00,-1.031936e+09,-2.708325e+08
2.749499e+00,-1.026931e+09,-2.670217e+08
2.767535e+00,-1.021966e+09,-2.632280e+08
2.785571e+00,-1.017041e+09,-2.594516e+08
2.803607e+00,-1.012156e+09,-2.556920e+08
2.821643e+00,-1.007308e+09,-2.519495e+08
2.839679e+00,-1.002499e+09,-2.482238e+08
2.857715e+00,-9.977265e+08,-2.445150e+08
2.875751e+00,-9.929910e+08,-2.408228e+08
2.893788e+00,-9.882915e+08,-2.371473e+08
2.911824e+00,-9.836275e+08,-2.334883e+08
2.929860e+00,-9.789985e+08,-2.298458e+08
2.947896e+00,-9.744038e+08,-2.262196e+08
2.965932e+00,-9.698431e+08,-2.226096e+08
2.983968e+00,-9.653156e+08,-2.190158e+08
3.002004e+00,-9.608211e+08,-2.154381e+08
3.020040e+00,-9.563590e+08,-2.118765e+08
3.038076e+00,-9.519287e+08,-2.083307e+08
3.056112e+00,-9.475298e+08,-2.048007e+08
3.074148e+00,-9.431619e+08,-2.012864e+08
3.092184e+00,-9.388245e+08,-1.977877e+08
3.110220e+00,-9.345171e+08,-1.943045e+08
3.128257e+00,-9.302394e+08,-1.908368e+08
3.146292e+00,-9.259909e+08,-1.873843e+08
3.164329e+00,-9.217712e+08,-1.839471e+08
3.182365e+00,-9.175798e+08,-1.805250e+08
3.200401e+00,-9.134165e+08,-1.771179e+08
3.218437e+00,-9.092808e+08,-1.737258e+08
3.236473e+00,-9.051724e+08,-1.703485e+08
3.254509e+00,-9.010907e+08,-1.669860e+08
3.272545e+00,-8.970355e+08,-1.636381e+08
3.290581e+00,-8.930065e+08,-1.603047e+08
3.308617e+00,-8.890033e+08,-1.569858e+08
3.326653e+00,-8.850257e+08,-1.536812e+08
3.344689e+00,-8.810730e+08,-1.503909e+08
3.362725e+00,-8.771452e+08,-1.471148e+08
3.380761e+00,-8.732419e+08,-1.438527e+08
3.398798e+00,-8.693626e+08,-1.406046e+08
3.416834e+00,-8.655073e+08,-1.373704e+08
3.434870e+00,-8.616755e+08,-1.341499e+08
3.452906e+00,-8.578669e+08,-1.309431e+08
3.470942e+00,-8.540813e+08,-1.277500e+08
3.488978e+00,-8.503183e+08,-1.245704e+08
3.507014e+00,-8.465777e+08,-1.214041e+08
3.525050e+00,-8.428593e+08,-1.182512e+08
3.543086e+00,-8.391627e+08,-1.151115e+08
3.561122e+00,-8.354876e+08,-1.119849e+08
3.579158e+00,-8.318339e+08,-1.088714e+08
3.597194e+00,-8.282013e+08,-1.057708e+08
3.615231e+00,-8.245894e+08,-1.026831e+08
3.633266e+00,-8.209981e+08,-9.960821e+07
3.651303e+00,-8.174271e+08,-9.654593e+07
3.669339e+00,-8.138763e+08,-9.349632e+07
3.687375e+00,-8.103462e+08,-9.197944e+07
3.705411e+00,-8.068580e+08,-9.546764e+07
3.723447e+00,-8.034204e+08,-9.890518e+07
3.741483e+00,-8.000324e+08,-1.022931e+08
3.759519e+00,-7.966931e+08,-1.056325e+08
3.777555e+00,-7.934015e+08,-1.089241e+08
3.795591e+00,-7.901567e+08,-1.121689e+08
3.813627e+00,-7.869578e+08,-1.153678e+08
3.831663e+00,-7.838040e+08,-1.185216e+08
3.849699e+00,-7.806945e+08,-1.216312e+08
3.867736e+00,-7.776282e+08,-1.246974e+08
3.885772e+00,-7.746046e+08,-1.277210e+08
3.903807e+00,-7.716229e+08,-1.307027e+08
3.921844e+00,-7.686821e+08,-1.336435e+08
3.939880e+00,-7.657817e+08,-1.365439e+08
3.957916e+00,-7.629208e+08,-1.394048e+08
3.975952e+00,-7.600988e+08,-1.422268e+08
3.993988e+00,-7.573149e+08,-1.450107e+08
4.012024e+00,-7.545684e+08,-1.477571e+08
4.030060e+00,-7.518588e+08,-1.504668e+08
4.048096e+00,-7.491853e+08,-1.531403e+08
4.066133e+00,-7.465473e+08,-1.557783e+08
4.084168e+00,-7.439442e+08,-1.583814e+08
4.102204e+00,-7.413753e+08,-1.609503e+08
4.120241e+00,-7.388401e+08,-1.634855e+08
4.138277e+00,-7.363380e+08,-1.659876e+08
4.156312e+00,-7.338684e+08,-1.684572e+08
4.174349e+00,-7.314307e+08,-1.708950e+08
4.192385e+00,-7.290244e+08,-1.733012e+08
4.210421e+00,-7.266490e+08,-1.756767e+08
4.228457e+00,-7.243038e+08,-1.780218e+08
4.246493e+00,-7.219885e+08,-1.803371e+08
4.264529e+00,-7.197026e+08,-1.826230e+08
4.282565e+00,-7.174454e+08,-1.848802e+08
4.300601e+00,-7.152166e+08,-1.871090e+08
4.318637e+00,-7.130156e+08,-1.893100e+08
4.336673e+00,-7.108421e+08,-1.914835e+08
4.354709e+00,-7.086956e+08,-1.936301e+08
4.372746e+00,-7.065754e+08,-1.957502e+08
4.390781e+00,-7.044814e+08,-1.978442e+08
4.408818e+00,-7.024130e+08,-1.999126e+08
4.426854e+00,-7.003699e+08,-2.019557e+08
4.444890e+00,-6.983516e+08,-2.039741e+08
4.462926e+00,-6.963577e+08,-2.059679e+08
